time,count
09:28:23,17
09:28:24,47
09:28:25,54
09:28:26,66
09:28:27,58
09:28:28,45
09:28:29,53
09:28:30,53
09:28:31,49
09:28:32,62
09:28:33,46
09:28:34,52
09:28:35,56
09:28:36,56
09:28:37,52
09:28:38,53
09:28:39,54
09:28:40,44
09:28:41,54
09:28:42,56
09:28:43,48
09:28:44,53
09:28:45,52
09:28:46,55
09:28:47,54
09:28:48,57
09:28:49,52
09:28:50,65
09:28:51,52
09:28:52,47
09:28:53,63
09:28:54,52
09:28:55,42
09:28:56,49
09:28:57,62
09:28:58,50
09:28:59,49
09:29:00,50
09:29:01,61
09:29:02,60
09:29:03,58
09:29:04,63
09:29:05,62
09:29:06,53
09:29:07,54
09:29:08,60
09:29:09,53
09:29:10,76
09:29:11,59
09:29:12,61
09:29:13,50
09:29:14,58
09:29:15,47
09:29:16,52
09:29:17,66
09:29:18,52
09:29:19,54
09:29:20,56
09:29:21,65
09:29:22,56
09:29:23,57
09:29:24,61
09:29:25,62
09:29:26,65
09:29:27,59
09:29:28,45
09:29:29,53
09:29:30,56
09:29:31,59
09:29:32,38
09:29:33,48
09:29:34,47
09:29:35,53
09:29:36,57
09:29:37,49
09:29:38,63
09:29:39,64
09:29:40,58
09:29:41,58
09:29:42,57
09:29:43,57
09:29:44,53
09:29:45,74
09:29:46,58
09:29:47,44
09:29:48,68
09:29:49,52
09:29:50,71
09:29:51,66
09:29:52,55
09:29:53,73
09:29:54,59
09:29:55,55
09:29:56,61
09:29:57,65
09:29:58,63
09:29:59,63
09:30:00,54
09:30:01,49
09:30:02,68
09:30:03,56
09:30:04,64
09:30:05,57
09:30:06,68
09:30:07,53
09:30:08,70
09:30:09,62
09:30:10,60
09:30:11,40
09:30:12,48
09:30:13,61
09:30:14,55
09:30:15,60
09:30:16,43
09:30:17,52
09:30:18,58
09:30:19,53
09:30:20,54
09:30:21,52
09:30:22,61
09:30:23,62
09:30:24,48
09:30:25,55
09:30:26,67
09:30:27,54
09:30:28,63
09:30:29,60
09:30:30,53
09:30:31,54
09:30:32,71
09:30:33,58
09:30:34,72
09:30:35,52
09:30:36,62
09:30:37,63
09:30:38,56
09:30:39,63
09:30:40,60
09:30:41,71
09:30:42,46
09:30:43,53
09:30:44,60
09:30:45,63
09:30:46,60
09:30:47,49
09:30:48,64
09:30:49,45
09:30:50,65
09:30:51,57
09:30:52,48
09:30:53,52
09:30:54,57
09:30:55,49
09:30:56,62
09:30:57,66
09:30:58,80
09:30:59,58
09:31:00,48
09:31:01,40
09:31:02,51
09:31:03,53
09:31:04,49
09:31:05,59
09:31:06,70
09:31:07,54
09:31:08,53
09:31:09,59
09:31:10,49
09:31:11,59
09:31:12,59
09:31:13,54
09:31:14,48
09:31:15,58
09:31:16,54
09:31:17,52
09:31:18,52
09:31:19,60
09:31:20,72
09:31:21,50
09:31:22,63
09:31:23,56
09:31:24,50
09:31:25,47
09:31:26,50
09:31:27,51
09:31:28,63
09:31:29,62
09:31:30,54
09:31:31,42
09:31:32,56
09:31:33,49
09:31:34,63
09:31:35,59
09:31:36,57
09:31:37,50
09:31:38,54
09:31:39,6
09:32:10,17
09:32:11,57
09:32:12,46
09:32:13,51
09:32:14,49
09:32:15,48
09:32:16,55
09:32:17,45
09:32:18,61
09:32:19,44
09:32:20,53
09:32:21,57
09:32:22,57
09:32:23,56
09:32:24,60
09:32:25,60
09:32:26,65
09:32:27,51
09:32:28,56
09:32:29,48
09:32:30,41
09:32:31,55
09:32:32,69
09:32:33,60
09:32:34,44
09:32:35,53
09:32:36,46
09:32:37,54
09:32:38,55
09:32:39,66
09:32:40,60
09:32:41,52
09:32:42,49
09:32:43,49
09:32:44,60
09:32:45,62
09:32:46,57
09:32:47,53
09:32:48,48
09:32:49,53
09:32:50,51
09:32:51,54
09:32:52,67
09:32:53,70
09:32:54,54
09:32:55,68
09:32:56,51
09:32:57,41
09:32:58,65
09:32:59,52
09:33:00,41
09:33:01,49
09:33:02,48
09:33:03,39
09:33:28,56
09:33:29,50
09:33:30,44
09:33:31,66
09:33:32,52
09:33:33,51
09:33:34,48
09:33:35,59
09:33:36,58
09:33:37,62
09:33:38,68
09:33:39,73
09:33:40,44
09:33:41,62
09:33:42,59
09:33:43,46
09:33:44,41
09:33:45,52
09:33:46,57
09:33:47,62
09:33:48,55
09:33:49,46
09:33:50,53
09:33:51,45
09:33:52,66
09:33:53,62
09:33:54,58
09:33:55,52
09:33:56,51
09:33:57,63
09:33:58,53
09:33:59,57
09:34:00,59
09:34:01,63
09:34:02,42
09:34:03,43
09:34:04,49
09:34:05,56
09:34:06,77
09:34:07,48
09:34:08,56
09:34:09,55
09:34:10,47
09:34:11,51
09:34:12,50
09:34:13,51
09:34:14,46
09:34:15,57
09:34:16,42
09:34:17,64
09:34:18,59
09:34:19,63
09:34:20,58
09:34:21,56
09:34:22,61
09:34:23,60
09:34:24,51
09:34:25,49
09:34:26,35
09:34:27,56
09:34:28,68
09:34:29,61
09:34:30,71
09:34:31,63
09:34:32,60
09:34:33,53
09:34:34,58
09:34:35,47
09:34:36,69
